Full_Name,Age,Marital_Status,Employment_Status,Income_AMD,Education_Level,Loan_Amount_AMD,Loan_Purpose,Collateral,FICO_Score,Debt_to_Income_Ratio,Num_Open_Credit_Lines,Previous_Defaults,Loan_Term,Interest_Rate,Employment_Duration_Years,Alternative_Income_AMD,Creditworthiness
Arman Vardanyan,45,Divorced,Unemployed,0,High School,4350000,Loan granted to individuals,Yes,847,0.41,4,1,24,18.33,2,3050000,Very Low
Mari Harutyunyan,54,Married,Employed,1850000,Bachelor's,4150000,Commercial and industrial loan,Yes,320,0.29,1,4,36,11.62,22,2300000,Low
Nune Hovhannisyan,58,Single,Self-Employed,2990000,High School,3950000,Consumer loan,Yes,732,0.16,2,0,24,18.82,16,3900000,Medium
Lusine Mkrtchyan,53,Married,Employed,1370000,Bachelor's,2550000,Commercial and industrial loan,Yes,670,0.21,3,4,24,15.46,28,1500000,Medium
Lusine Ghazaryan,44,Married,Unemployed,0,Master's,3150000,Consumer loan,Yes,692,0.34,1,1,48,9.14,0,3200000,Very Low
Gayane Nazaryan,34,Widowed,Employed,2010000,High School,4000000,Loan granted to individuals,Yes,518,0.59,2,2,12,12.81,2,4400000,Low
Tatev Harutyunyan,26,Married,Self-Employed,410000,PhD,4350000,Commercial and industrial loan,Yes,803,0.24,1,2,60,9.28,4,2000000,Very High
Sona Petrosyan,50,Single,Employed,2230000,PhD,50000,Loan granted to financial institutions,Yes,395,0.2,3,3,24,9.97,15,300000,Low
Gayane Mkrtchyan,37,Married,Employed,1510000,High School,950000,Loan granted to financial institutions,Yes,731,0.21,2,4,24,10.97,13,2550000,Medium
Aram Avagyan,30,Widowed,Employed,2990000,PhD,1750000,Commercial and industrial loan,Yes,487,0.45,4,3,60,14.33,11,1700000,Low
Hayk Nazaryan,45,Divorced,Employed,1390000,Bachelor's,3150000,Agricultural loan,No,800,0.56,1,3,48,13.19,18,3350000,Low
Edgar Hakobyan,65,Married,Retired,57000,High School,4700000,Leasing finance,Yes,674,0.14,2,4,48,10.64,8,4750000,Low
David Markosyan,46,Divorced,Employed,670000,High School,4050000,Loan granted to individuals,Yes,733,0.47,1,4,24,13.34,22,2400000,Medium
Ruben Hakobyan,30,Divorced,Employed,2650000,Bachelor's,1300000,Consumer loan,No,722,0.35,1,1,48,12.35,1,2300000,Medium
Nune Avetisyan,63,Widowed,Retired,66000,Master's,650000,Consumer loan,No,443,0.51,2,4,36,13.51,25,3250000,Low
Sargis Karapetyan,52,Married,Employed,1210000,Bachelor's,4300000,Mortgage loan,Yes,839,0.31,2,4,60,10.9,2,500000,Low
Narek Sargsyan,23,Widowed,Self-Employed,2470000,Master's,1150000,Agricultural loan,Yes,798,0.1,2,3,48,15.71,3,1250000,Low
Gagik Hakobyan,35,Widowed,Unemployed,0,Master's,4850000,Commercial and industrial loan,Yes,305,0.44,3,2,60,9.49,8,4550000,Very Low
Narine Markosyan,68,Widowed,Self-Employed,1750000,Bachelor's,4550000,Agricultural loan,No,616,0.5,2,0,48,13.27,13,3300000,Low
Lilit Poghosyan,22,Divorced,Unemployed,0,Master's,1750000,Mortgage loan,Yes,529,0.55,1,2,36,18.84,2,50000,Low
Trdat Melkonyan,64,Divorced,Employed,310000,PhD,600000,Leasing finance,Yes,421,0.38,2,4,48,13.62,42,1000000,Low
Hasmik Petrosyan,42,Single,Employed,2270000,High School,450000,Consumer loan,No,794,0.16,3,0,36,13.85,2,3400000,High
Areg Markosyan,19,Widowed,Employed,2330000,Bachelor's,4900000,Leasing finance,Yes,774,0.28,3,4,12,9.75,0,3800000,Low
Karine Avetisyan,27,Divorced,Self-Employed,2590000,Bachelor's,3900000,Loan granted to individuals,Yes,807,0.49,2,1,36,15.66,0,4150000,Very Low
Anahit Poghosyan,47,Divorced,Self-Employed,1330000,Bachelor's,3350000,Loan granted to individuals,No,474,0.35,1,4,36,19.3,26,1450000,Low
Arpi Harutyunyan,67,Single,Employed,1370000,Master's,2200000,Loan granted to individuals,No,820,0.45,3,0,48,12.21,3,4650000,Very Low
Narek Avagyan,62,Divorced,Employed,2250000,Bachelor's,3050000,Loan granted to individuals,Yes,570,0.1,1,1,36,13.33,20,2750000,Very Low
Tatev Harutyunyan,22,Widowed,Employed,1490000,Master's,1050000,Loan granted to individuals,Yes,485,0.14,4,0,48,15.47,0,3450000,Very Low
Vahan Vardanyan,50,Married,Employed,2050000,Master's,350000,Mortgage loan,Yes,393,0.44,3,1,60,10.03,19,2950000,Very Low
Vahan Poghosyan,18,Widowed,Employed,770000,Master's,4850000,Consumer loan,Yes,813,0.25,4,3,36,19.45,0,600000,Low
Anahit Harutyunyan,35,Divorced,Employed,2170000,High School,4950000,Leasing finance,Yes,477,0.29,3,0,24,14.14,9,4800000,Very Low
Narine Hovhannisyan,49,Widowed,Self-Employed,890000,Bachelor's,550000,Commercial and industrial loan,Yes,594,0.42,1,3,12,10.27,17,600000,Low
Arsen Petrosyan,64,Single,Employed,2230000,Bachelor's,2250000,Consumer loan,No,530,0.16,4,3,24,12.69,32,1250000,Low
Suren Poghosyan,66,Single,Self-Employed,450000,Bachelor's,1600000,Agricultural loan,No,535,0.52,1,4,12,13.11,34,4050000,Low
Mari Nazaryan,28,Widowed,Self-Employed,1210000,PhD,4300000,Loan granted to financial institutions,No,392,0.17,3,2,24,12.8,8,3050000,Very Low
Aram Harutyunyan,38,Single,Self-Employed,2990000,Bachelor's,4150000,Leasing finance,No,786,0.47,1,1,48,16.63,2,4150000,High
Gevorg Poghosyan,43,Widowed,Unemployed,0,High School,1800000,Consumer loan,Yes,343,0.25,4,0,24,12.8,18,2550000,Very Low
Ashot Sargsyan,42,Single,Unemployed,0,Bachelor's,1850000,Commercial and industrial loan,Yes,838,0.23,2,3,12,12.56,17,1850000,Low
Hasmik Vardanyan,39,Divorced,Unemployed,0,Master's,3750000,Loan granted to financial institutions,Yes,774,0.51,2,4,60,12.54,12,4600000,Low
Armine Melkonyan,44,Single,Unemployed,0,Master's,2050000,Leasing finance,Yes,338,0.38,3,0,60,17.56,2,150000,Very Low
Anahit Markosyan,66,Divorced,Employed,490000,Master's,3850000,Loan granted to financial institutions,No,684,0.2,2,4,48,12.39,24,4250000,Medium
David Vardanyan,30,Single,Self-Employed,210000,Bachelor's,4600000,Loan granted to individuals,Yes,734,0.1,3,0,24,9.15,6,1150000,Medium
Sargis Ghazaryan,50,Married,Self-Employed,870000,Bachelor's,2450000,Mortgage loan,Yes,588,0.59,1,4,60,13.02,17,4200000,Low
Hakob Avagyan,51,Single,Self-Employed,930000,Master's,750000,Consumer loan,Yes,547,0.32,1,4,36,12.06,29,650000,Low
Lilit Melkonyan,58,Married,Self-Employed,1390000,PhD,650000,Loan granted to individuals,No,658,0.3,4,2,24,19,39,2900000,Low
Lusine Karapetyan,52,Widowed,Employed,1490000,Master's,2650000,Consumer loan,Yes,737,0.13,4,3,36,14.26,29,4400000,Medium
Edgar Hovhannisyan,18,Widowed,Employed,2530000,Master's,1650000,Agricultural loan,No,508,0.55,2,1,12,11.58,0,2350000,Low
Liana Harutyunyan,38,Single,Employed,510000,Bachelor's,3600000,Agricultural loan,Yes,423,0.17,1,1,60,19.8,0,3700000,Very Low
Gagik Poghosyan,65,Divorced,Employed,1850000,Bachelor's,1600000,Consumer loan,Yes,702,0.27,4,0,60,11.71,32,4000000,Medium
Gagik Petrosyan,23,Single,Self-Employed,1190000,Master's,2400000,Mortgage loan,Yes,583,0.31,2,0,24,17.39,3,3650000,Low
Mariam Sargsyan,45,Divorced,Employed,910000,Bachelor's,3400000,Commercial and industrial loan,No,540,0.51,3,2,36,16.15,7,4600000,Low
Gevorg Poghosyan,34,Widowed,Employed,1970000,PhD,2850000,Agricultural loan,No,466,0.28,4,0,36,14.08,10,2200000,Very Low
Artur Gevorgyan,22,Widowed,Employed,1590000,Bachelor's,3100000,Leasing finance,No,447,0.37,4,1,60,13.46,1,850000,Very Low
Karen Petrosyan,48,Single,Employed,1750000,High School,4100000,Loan granted to financial institutions,Yes,564,0.31,2,3,36,18.6,11,200000,Low
Hakob Sargsyan,22,Widowed,Unemployed,0,Master's,4350000,Loan granted to individuals,Yes,800,0.26,4,2,12,14.23,0,1200000,Very Low
Nune Melkonyan,55,Single,Self-Employed,430000,High School,4650000,Commercial and industrial loan,Yes,578,0.57,2,0,24,13.13,20,700000,Low
Sargis Poghosyan,20,Widowed,Employed,1590000,Bachelor's,100000,Agricultural loan,No,458,0.5,4,2,24,12.9,1,2750000,Very Low
Anahit Mkrtchyan,40,Married,Employed,2190000,Bachelor's,3850000,Loan granted to financial institutions,Yes,359,0.19,1,2,60,12.03,4,900000,Very Low
Gagik Harutyunyan,54,Divorced,Employed,510000,Master's,800000,Leasing finance,Yes,798,0.38,1,2,60,13.5,28,150000,High
Hakob Markosyan,54,Divorced,Employed,1630000,Bachelor's,400000,Loan granted to individuals,Yes,616,0.5,1,0,36,10.32,23,150000,Low
Anush Hovhannisyan,27,Divorced,Employed,1830000,High School,950000,Loan granted to financial institutions,Yes,787,0.39,4,4,12,9.72,9,4150000,Low
Lilit Poghosyan,27,Married,Self-Employed,1770000,Master's,1600000,Commercial and industrial loan,Yes,764,0.35,2,0,36,14.96,3,2950000,High
Narek Harutyunyan,36,Widowed,Employed,650000,Bachelor's,3350000,Consumer loan,Yes,527,0.14,1,0,48,14,17,1750000,Very Low
Karine Ghazaryan,34,Married,Employed,210000,PhD,1600000,Loan granted to financial institutions,No,655,0.15,3,0,24,10.91,14,4450000,Low
Karine Hovhannisyan,38,Divorced,Employed,2710000,Bachelor's,4250000,Commercial and industrial loan,No,765,0.22,4,0,36,10.17,5,350000,High
Tatev Avetisyan,31,Married,Unemployed,0,Master's,1250000,Leasing finance,Yes,526,0.36,2,0,24,10.58,10,4900000,Very Low
Lusine Hovhannisyan,26,Single,Unemployed,0,Bachelor's,2650000,Loan granted to financial institutions,No,468,0.59,4,2,36,12.47,3,3050000,Low
Sargis Sargsyan,63,Divorced,Employed,1670000,Master's,4050000,Loan granted to financial institutions,Yes,583,0.5,2,2,48,13.97,33,900000,Low
Armine Hovhannisyan,18,Single,Employed,1750000,Master's,1250000,Loan granted to individuals,No,561,0.16,2,0,36,11.13,0,3350000,Very Low
Suren Melkonyan,68,Married,Self-Employed,2510000,PhD,1650000,Leasing finance,Yes,663,0.46,4,3,36,17.31,8,3800000,Low
Arman Petrosyan,62,Married,Employed,2390000,High School,1550000,Mortgage loan,No,820,0.51,3,3,48,11.13,40,2100000,Low
Hasmik Gevorgyan,30,Single,Employed,2270000,Bachelor's,1800000,Leasing finance,No,397,0.31,3,4,48,10.37,6,4300000,Low
Mariam Avagyan,21,Widowed,Employed,2870000,Master's,4350000,Commercial and industrial loan,Yes,311,0.27,4,3,24,19.94,1,750000,Low
Ara Mkrtchyan,18,Widowed,Employed,2030000,High School,4450000,Agricultural loan,No,716,0.39,1,1,36,13.92,0,1350000,Medium
Hasmik Petrosyan,66,Married,Self-Employed,2110000,Bachelor's,2450000,Loan granted to individuals,Yes,800,0.36,1,1,60,10.87,34,450000,Very Low
Ara Melkonyan,57,Single,Self-Employed,2890000,PhD,2200000,Consumer loan,No,434,0.23,2,3,36,18.84,26,1050000,Low
Vahagn Vardanyan,49,Married,Employed,1090000,Bachelor's,2400000,Mortgage loan,Yes,558,0.3,1,0,48,11.54,9,1150000,Very Low
Karen Hakobyan,51,Married,Self-Employed,2990000,PhD,1500000,Loan granted to individuals,No,816,0.37,4,3,36,19.18,17,4550000,Low
Elina Harutyunyan,45,Divorced,Self-Employed,1030000,High School,650000,Commercial and industrial loan,Yes,593,0.39,4,1,12,10.31,20,350000,Low
Gagik Nazaryan,48,Divorced,Self-Employed,170000,Master's,2150000,Loan granted to financial institutions,Yes,739,0.37,3,3,24,18.26,17,2100000,Medium
Hovhannes Gevorgyan,25,Married,Employed,1290000,Master's,4650000,Loan granted to financial institutions,No,450,0.52,1,2,36,11.03,2,2650000,Low
Mari Gevorgyan,56,Married,Employed,190000,Master's,800000,Loan granted to financial institutions,No,780,0.12,1,4,36,19.32,30,4450000,Low
Artur Avetisyan,43,Married,Employed,2390000,PhD,4550000,Agricultural loan,No,557,0.27,2,2,60,15.32,0,4950000,Very Low
Narek Poghosyan,51,Widowed,Self-Employed,2070000,High School,1300000,Loan granted to financial institutions,No,448,0.47,4,2,36,11.09,14,3750000,Very Low
Edgar Sargsyan,20,Widowed,Employed,2010000,PhD,3750000,Leasing finance,Yes,441,0.43,4,4,48,18.29,0,4850000,Low
Hayk Avagyan,67,Married,Employed,990000,Master's,2350000,Consumer loan,No,550,0.56,4,0,48,13.3,46,3900000,Low
Sona Poghosyan,29,Married,Employed,210000,Bachelor's,1850000,Loan granted to financial institutions,No,346,0.39,3,4,36,17.06,6,4800000,Low
Nune Hovhannisyan,18,Widowed,Employed,1850000,PhD,150000,Loan granted to individuals,Yes,671,0.42,3,0,48,16.08,0,3500000,Medium
Nune Nazaryan,61,Widowed,Unemployed,0,Bachelor's,1300000,Loan granted to financial institutions,No,393,0.45,3,1,48,16.86,35,350000,Very Low
Liana Avetisyan,22,Single,Self-Employed,1110000,Master's,4900000,Loan granted to financial institutions,No,655,0.19,4,3,36,12.78,2,2000000,Low
Ruben Mkrtchyan,47,Married,Unemployed,0,Bachelor's,4850000,Agricultural loan,No,831,0.48,4,1,12,19.33,2,3200000,Very Low
Nune Petrosyan,47,Married,Self-Employed,530000,PhD,750000,Agricultural loan,Yes,571,0.25,1,1,60,15.16,12,1750000,Very Low
Arman Harutyunyan,34,Divorced,Employed,1830000,Master's,3300000,Consumer loan,No,728,0.31,4,1,48,9.85,6,1350000,Medium
Gagik Avetisyan,65,Single,Employed,1450000,High School,1400000,Agricultural loan,No,363,0.11,4,3,48,9.73,11,2850000,Low
Aram Karapetyan,64,Married,Employed,630000,Master's,4200000,Loan granted to individuals,Yes,463,0.52,3,0,48,17.12,28,4650000,Low
Narine Avetisyan,40,Divorced,Employed,2670000,Bachelor's,1900000,Mortgage loan,No,688,0.58,1,4,48,18.35,1,150000,Low
Hakob Avetisyan,32,Married,Employed,2730000,Bachelor's,2200000,Loan granted to financial institutions,Yes,768,0.13,4,0,36,16.65,5,3800000,High
Ruben Sargsyan,54,Widowed,Unemployed,0,Bachelor's,2650000,Consumer loan,Yes,849,0.42,2,0,60,12.05,7,3600000,Very Low
Ashot Petrosyan,38,Single,Employed,1590000,High School,4000000,Loan granted to financial institutions,Yes,830,0.58,3,2,48,11.48,11,4800000,Low
Ara Avagyan,31,Married,Self-Employed,1710000,Bachelor's,200000,Consumer loan,Yes,316,0.4,2,3,60,15.22,1,4650000,Low
Levon Harutyunyan,19,Divorced,Employed,650000,Master's,3600000,Loan granted to financial institutions,Yes,600,0.5,1,0,36,11.16,1,3800000,Low
Karine Hovhannisyan,28,Single,Employed,1410000,Bachelor's,2200000,Commercial and industrial loan,Yes,387,0.16,3,0,60,13.17,6,2600000,Very Low
Hasmik Gevorgyan,68,Widowed,Retired,51000,Master's,2300000,Consumer loan,Yes,544,0.22,1,1,48,15.92,46,1000000,Very Low
Nune Sargsyan,56,Divorced,Employed,2390000,Bachelor's,4200000,Loan granted to financial institutions,Yes,766,0.27,4,2,48,12.13,8,2700000,High
Arman Sargsyan,55,Single,Employed,2890000,Master's,1300000,Loan granted to individuals,Yes,741,0.59,3,4,12,13.13,26,3800000,Low
Narine Avetisyan,51,Divorced,Employed,2310000,Master's,4800000,Leasing finance,No,412,0.49,1,2,48,12.97,10,4450000,Very Low
Gevorg Mkrtchyan,55,Single,Employed,2610000,Bachelor's,650000,Loan granted to financial institutions,No,741,0.54,1,1,36,14.07,18,3900000,Low
Armine Ghazaryan,67,Widowed,Employed,1830000,PhD,3450000,Commercial and industrial loan,Yes,307,0.34,1,1,48,16.42,30,950000,Very Low
Samvel Sargsyan,51,Single,Employed,2090000,Master's,2200000,Loan granted to financial institutions,No,848,0.46,2,1,36,17.61,14,2950000,Very Low
Lilit Avetisyan,35,Divorced,Self-Employed,2450000,Master's,2650000,Mortgage loan,No,399,0.47,3,3,24,16.32,0,1650000,Low
Anahit Markosyan,47,Married,Unemployed,0,Bachelor's,2550000,Mortgage loan,No,644,0.38,1,1,36,9.29,6,0,Low
Trdat Hakobyan,32,Single,Employed,1750000,High School,650000,Consumer loan,Yes,780,0.54,3,0,36,18.87,6,1000000,Low
Karine Vardanyan,44,Widowed,Self-Employed,2190000,PhD,2050000,Mortgage loan,Yes,641,0.18,4,3,48,15.39,3,550000,Low
Nune Hovhannisyan,68,Widowed,Employed,470000,Master's,550000,Loan granted to financial institutions,No,533,0.13,4,1,36,19.12,21,4200000,Very Low
Karen Hakobyan,51,Married,Unemployed,0,High School,1850000,Commercial and industrial loan,Yes,534,0.25,1,3,36,19.6,0,1250000,Low
Nune Markosyan,69,Married,Employed,2150000,Bachelor's,3000000,Agricultural loan,Yes,425,0.14,3,0,48,14.15,26,1400000,Very Low
Elina Avagyan,55,Widowed,Employed,1530000,Master's,1600000,Agricultural loan,Yes,776,0.13,1,1,48,19.08,10,4750000,High
Vahagn Harutyunyan,50,Widowed,Unemployed,0,Master's,2250000,Loan granted to financial institutions,Yes,671,0.31,1,1,60,13.02,11,1850000,Very Low
Sargis Hovhannisyan,41,Married,Employed,1410000,PhD,900000,Leasing finance,Yes,419,0.2,2,0,36,11.86,20,0,Very Low
Vardan Melkonyan,32,Single,Self-Employed,2250000,High School,4650000,Commercial and industrial loan,Yes,841,0.5,3,1,48,9.81,7,1400000,Very Low
Gagik Hakobyan,47,Single,Self-Employed,2150000,Bachelor's,3950000,Agricultural loan,Yes,478,0.39,2,0,24,13.97,12,550000,Very Low
Artur Petrosyan,59,Widowed,Employed,1270000,High School,1000000,Mortgage loan,Yes,393,0.28,1,1,60,16.58,36,500000,Very Low
Karine Hovhannisyan,68,Married,Retired,45500,Bachelor's,2200000,Commercial and industrial loan,Yes,601,0.24,2,1,48,19.75,32,350000,Low
Gayane Poghosyan,34,Married,Employed,2730000,High School,1800000,Leasing finance,Yes,717,0.38,2,2,48,14.73,1,2950000,Medium
Aram Harutyunyan,22,Widowed,Employed,2230000,PhD,3450000,Agricultural loan,Yes,751,0.32,2,3,24,17.08,0,900000,Low
Anahit Vardanyan,46,Married,Employed,1770000,Master's,1850000,Loan granted to financial institutions,Yes,716,0.13,4,4,60,18.86,12,1800000,Medium
Ara Hakobyan,21,Single,Employed,1130000,Master's,1650000,Mortgage loan,Yes,421,0.43,4,2,60,14.98,1,4300000,Very Low
Tatev Hakobyan,27,Single,Employed,950000,High School,4100000,Commercial and industrial loan,No,356,0.35,2,2,36,10.83,6,2100000,Very Low
Hasmik Melkonyan,34,Single,Employed,1930000,Bachelor's,950000,Consumer loan,No,438,0.24,3,3,36,18.33,14,4550000,Low
Vardan Poghosyan,27,Single,Self-Employed,1650000,Bachelor's,2550000,Loan granted to financial institutions,Yes,498,0.25,4,2,60,15.32,3,2450000,Very Low
Gayane Karapetyan,34,Divorced,Employed,2890000,Bachelor's,1600000,Agricultural loan,Yes,660,0.33,2,0,36,17.34,8,1950000,Low
Edgar Sargsyan,37,Married,Self-Employed,1930000,Master's,1100000,Loan granted to financial institutions,Yes,709,0.51,1,2,36,16.24,14,3750000,Low
Suren Ghazaryan,41,Divorced,Self-Employed,2430000,Bachelor's,50000,Agricultural loan,Yes,827,0.31,4,4,48,9.67,6,350000,Low
Hasmik Harutyunyan,22,Widowed,Employed,2970000,Bachelor's,2700000,Agricultural loan,No,542,0.52,1,0,48,10.86,2,400000,Low
Vardan Poghosyan,51,Widowed,Self-Employed,2950000,High School,4450000,Consumer loan,Yes,389,0.31,2,3,36,12.15,8,3250000,Low
Ashot Mkrtchyan,23,Married,Employed,290000,High School,1000000,Loan granted to financial institutions,Yes,815,0.51,2,3,36,12.13,5,2400000,Low
Nune Harutyunyan,19,Married,Unemployed,0,Master's,2900000,Leasing finance,Yes,361,0.57,2,3,36,18.23,1,3950000,Low
Tigran Gevorgyan,30,Single,Employed,1870000,Bachelor's,1750000,Agricultural loan,No,511,0.11,1,0,60,15.58,2,4550000,Very Low
Vahagn Hovhannisyan,60,Single,Employed,1190000,Master's,3500000,Leasing finance,No,547,0.13,4,3,60,9.92,19,1900000,Low
Artur Sargsyan,60,Single,Employed,2790000,Master's,3500000,Loan granted to individuals,Yes,796,0.17,2,3,48,13.26,22,2950000,Low
Mari Gevorgyan,65,Divorced,Employed,2790000,High School,3050000,Loan granted to financial institutions,Yes,355,0.16,3,4,36,15.12,14,2500000,Low
Sargis Gevorgyan,28,Married,Employed,1770000,High School,3150000,Consumer loan,Yes,758,0.33,2,1,48,11.77,9,4900000,High
Ruzanna Gevorgyan,68,Married,Retired,59500,Master's,3050000,Loan granted to financial institutions,No,588,0.48,4,1,36,9.44,30,4150000,Low
Armine Mkrtchyan,64,Single,Employed,610000,Master's,2850000,Commercial and industrial loan,Yes,842,0.58,4,1,48,13.18,3,4550000,Low
Arpi Avetisyan,40,Divorced,Employed,970000,Bachelor's,150000,Consumer loan,Yes,769,0.31,3,3,36,14.07,18,1250000,Low
Vahagn Hakobyan,33,Married,Employed,2870000,High School,4750000,Loan granted to financial institutions,No,688,0.44,2,0,36,18.95,2,3850000,Medium
Ani Nazaryan,48,Divorced,Employed,2570000,High School,4950000,Loan granted to individuals,No,720,0.42,4,3,36,18.99,27,1300000,Medium
Tatev Hovhannisyan,28,Single,Employed,1950000,Bachelor's,2250000,Leasing finance,Yes,812,0.3,4,1,60,14.5,4,1000000,Very Low
Narine Avetisyan,33,Widowed,Employed,2910000,High School,750000,Consumer loan,Yes,380,0.46,4,4,60,14.19,1,4700000,Low
Edgar Avetisyan,25,Widowed,Self-Employed,2870000,Bachelor's,850000,Leasing finance,No,743,0.4,1,3,24,16.05,0,50000,Low
Samvel Hakobyan,21,Single,Employed,1670000,Bachelor's,750000,Mortgage loan,No,586,0.48,4,3,36,11.84,0,4800000,Low
Arpi Avagyan,57,Married,Unemployed,0,High School,250000,Commercial and industrial loan,No,583,0.2,4,3,36,12.14,30,700000,Low
Sona Ghazaryan,21,Single,Employed,1350000,High School,4300000,Leasing finance,Yes,790,0.28,1,0,36,9.03,3,4050000,High
Lilit Ghazaryan,42,Married,Self-Employed,1790000,PhD,2300000,Commercial and industrial loan,No,687,0.44,2,4,60,9.86,11,1350000,Medium
Gagik Hakobyan,20,Divorced,Employed,1570000,Master's,550000,Consumer loan,Yes,707,0.16,3,4,36,10.96,2,1750000,Medium
Elina Hakobyan,49,Widowed,Employed,1230000,PhD,3200000,Loan granted to financial institutions,Yes,626,0.49,1,4,60,16.05,26,1050000,Low
Areg Sargsyan,20,Divorced,Employed,2290000,Bachelor's,4600000,Loan granted to financial institutions,Yes,475,0.17,1,4,48,11.34,0,2900000,Low
Ruben Gevorgyan,44,Widowed,Employed,630000,Master's,700000,Commercial and industrial loan,Yes,820,0.26,1,1,24,10.36,7,1700000,Very High
Gevorg Ghazaryan,46,Single,Employed,2670000,Bachelor's,1950000,Consumer loan,Yes,682,0.22,4,3,48,15.78,17,3250000,Medium
Gevorg Nazaryan,49,Married,Employed,1250000,Master's,3350000,Loan granted to individuals,Yes,557,0.13,2,4,48,16.17,22,50000,Low
Tigran Markosyan,67,Divorced,Self-Employed,670000,High School,2750000,Consumer loan,Yes,646,0.24,2,2,48,9.66,40,300000,Low
Sargis Mkrtchyan,68,Single,Employed,930000,High School,2100000,Consumer loan,Yes,571,0.56,2,2,12,17.5,35,450000,Low
Narine Poghosyan,36,Divorced,Employed,2430000,PhD,3750000,Consumer loan,No,560,0.11,3,1,24,15.67,15,2050000,Very Low
Anahit Petrosyan,38,Single,Self-Employed,1290000,Master's,4700000,Consumer loan,Yes,695,0.11,2,2,48,13.37,17,4050000,Medium
Hayk Karapetyan,22,Married,Employed,850000,PhD,250000,Consumer loan,Yes,453,0.45,3,2,36,19.82,0,4400000,Very Low
Gayane Karapetyan,35,Widowed,Self-Employed,2690000,Bachelor's,2600000,Leasing finance,Yes,826,0.28,4,2,60,9.11,9,1200000,Very High
Suren Hakobyan,45,Married,Employed,2350000,Bachelor's,1100000,Commercial and industrial loan,No,366,0.21,2,1,36,14.99,16,2850000,Very Low
Hakob Hakobyan,59,Widowed,Self-Employed,930000,Bachelor's,3850000,Loan granted to financial institutions,Yes,647,0.35,3,3,12,10.76,21,3800000,Low
Hasmik Poghosyan,39,Widowed,Employed,710000,Master's,2200000,Loan granted to financial institutions,No,362,0.23,4,1,48,12.62,7,1400000,Very Low
Ashot Ghazaryan,38,Widowed,Self-Employed,1030000,Master's,4250000,Loan granted to financial institutions,Yes,655,0.3,4,0,36,10.47,1,2000000,Low
Sona Harutyunyan,23,Divorced,Self-Employed,2310000,PhD,2950000,Loan granted to financial institutions,Yes,580,0.46,3,0,36,16.35,1,2600000,Low
Liana Avetisyan,18,Divorced,Employed,1950000,High School,1250000,Loan granted to financial institutions,No,340,0.16,4,2,12,13.42,0,650000,Very Low
Arpi Melkonyan,22,Widowed,Employed,810000,Master's,1050000,Consumer loan,Yes,839,0.58,4,2,24,19.85,3,100000,Low
Vardan Poghosyan,58,Single,Employed,1930000,Bachelor's,4600000,Commercial and industrial loan,Yes,666,0.12,2,3,24,16.19,38,750000,Low
Edgar Harutyunyan,29,Single,Self-Employed,430000,Bachelor's,3200000,Agricultural loan,Yes,576,0.5,3,2,36,19.09,6,3100000,Very Low
Edgar Hakobyan,43,Divorced,Employed,1530000,Master's,3400000,Leasing finance,No,520,0.46,4,0,48,11.65,12,350000,Very Low
Gor Sargsyan,63,Single,Employed,1770000,Master's,4650000,Loan granted to individuals,No,360,0.24,1,2,24,12.51,18,900000,Very Low
Trdat Ghazaryan,51,Single,Employed,1550000,High School,2350000,Mortgage loan,Yes,402,0.16,1,3,48,12.99,9,1650000,Low
Sargis Melkonyan,66,Single,Employed,2730000,Bachelor's,1750000,Consumer loan,Yes,484,0.53,4,0,60,18.22,19,350000,Low
Anahit Hovhannisyan,31,Divorced,Employed,2090000,Bachelor's,4350000,Agricultural loan,No,446,0.44,2,2,48,11.33,7,950000,Very Low
Mari Markosyan,43,Widowed,Self-Employed,2710000,Bachelor's,350000,Commercial and industrial loan,Yes,374,0.25,1,3,48,19.41,5,4550000,Low
Hakob Hovhannisyan,62,Married,Employed,2550000,Bachelor's,2800000,Agricultural loan,Yes,772,0.11,2,3,24,9.48,44,50000,Low
Nune Hakobyan,44,Widowed,Self-Employed,2630000,High School,2600000,Loan granted to individuals,Yes,300,0.57,4,0,12,18.79,17,3250000,Low
Lilit Avagyan,26,Divorced,Employed,2330000,High School,2300000,Leasing finance,Yes,715,0.3,3,0,36,13.97,5,1900000,Medium
Areg Ghazaryan,43,Widowed,Employed,2730000,PhD,450000,Mortgage loan,No,768,0.19,4,0,48,14.78,6,3350000,High
Mari Hakobyan,64,Divorced,Employed,690000,PhD,2900000,Consumer loan,No,664,0.56,4,3,48,19.97,39,2900000,Low
Sona Avetisyan,39,Widowed,Employed,2190000,Bachelor's,1150000,Loan granted to financial institutions,Yes,316,0.28,1,0,60,18.57,7,1100000,Very Low
Mariam Avagyan,64,Married,Self-Employed,1310000,PhD,150000,Loan granted to individuals,Yes,809,0.33,3,0,48,18.94,15,4200000,Very Low
Arpi Avetisyan,47,Widowed,Self-Employed,1010000,Master's,3050000,Consumer loan,No,738,0.45,2,3,36,15.44,7,2450000,Medium
Hakob Mkrtchyan,60,Married,Employed,2930000,High School,450000,Consumer loan,Yes,830,0.51,2,3,48,19.52,14,4100000,Low
Mari Vardanyan,65,Widowed,Retired,51500,High School,2650000,Mortgage loan,Yes,358,0.15,3,0,24,16.57,39,2000000,Very Low
Sargis Karapetyan,34,Widowed,Employed,890000,PhD,3400000,Mortgage loan,Yes,414,0.55,2,0,60,18.01,5,4900000,Low
